ID,StartTime,EndTime,Price
13449,0,419,0.83
13449,420,599,1.13
13449,600,779,1.24
13449,780,1019,1.18
13449,1020,1319,1.24
13449,1320,1379,1.13
13449,1380,1439,0.83
8009,0,419,0.82
8009,420,599,1.19
8009,600,779,1.39
8009,780,1019,1.28
8009,1020,1319,1.39
8009,1320,1379,1.19
8009,1380,1439,0.82
6718,0,419,0.83
6718,420,599,0.99
6718,600,779,1.15
6718,780,1019,0.99
6718,1020,1319,1.15
6718,1320,1379,0.99
6718,1380,1439,0.83
7875,0,419,0.76
7875,420,599,1.02
7875,600,779,1.12
7875,780,1019,1.06
7875,1020,1319,1.12
7875,1320,1379,1.02
7875,1380,1439,0.76
860,0,419,0.91
860,420,599,1.17
860,600,779,1.29
860,780,1019,1.17
860,1020,1319,1.29
860,1320,1379,1.17
860,1380,1439,0.91
13297,0,419,0.84
13297,420,599,1.14
13297,600,779,1.34
13297,780,1019,1.19
13297,1020,1319,1.34
13297,1320,1379,1.14
13297,1380,1439,0.84
8583,0,419,0.69
8583,420,599,0.9
8583,600,779,1.07
8583,780,1019,0.9
8583,1020,1319,1.07
8583,1320,1379,0.9
8583,1380,1439,0.69
7723,0,419,0.69
7723,420,599,0.99
7723,600,779,1.14
7723,780,1019,0.99
7723,1020,1319,1.14
7723,1320,1379,0.99
7723,1380,1439,0.69
6068,0,419,0.98
6068,420,599,1.22
6068,600,779,1.46
6068,780,1019,1.22
6068,1020,1319,1.46
6068,1320,1379,1.22
6068,1380,1439,0.98
3672,0,419,1.21
3672,420,599,1.45
3672,600,779,1.69
3672,780,1019,1.45
3672,1020,1319,1.69
3672,1320,1379,1.45
3672,1380,1439,1.21
