LinkID,Time,Speed
13,362,31.5
13,399,31.5
13,435,31.5
13,471,18
13,506,18
13,542,18
13,578,21
13,614,21
13,658,25.2
13,706,25.2
13,729,31.5
13,754,25.2
13,801,25.2
13,844,25.2
13,884,21
13,925,21
13,969,21
13,1014,21
13,1054,21
13,1094,21
13,1136,21
13,1182,21
13,1229,31.5
13,1273,31.5
13,1321,31.5
13,1369,31.5
13,1410,31.5
14,362,34.2857
14,399,13.3333
14,435,13.3333
14,471,12.8571
14,506,13.5849
14,542,13.5849
14,578,12.8571
14,614,12.8571
14,658,12.4138
14,706,12.4138
14,729,14.1176
14,754,13.8462
14,801,13.8462
14,844,13.8462
14,884,11.4286
14,925,11.4286
14,969,11.4286
14,1014,11.4286
14,1054,27.6923
14,1094,27.6923
14,1136,27.6923
14,1182,27.6923
14,1229,14.1176
14,1273,14.1176
14,1321,14.1176
14,1369,14.1176
14,1410,14.1176
25,362,17.8154
25,399,19.3
25,435,19.3
25,471,9.65
25,506,9.65
25,542,9.65
25,578,8.4732
25,614,8.4732
25,658,11.58
25,706,11.58
25,729,9.65
25,754,9.7859
25,801,9.7859
25,844,9.7859
25,884,10.0696
25,925,10.0696
25,969,10.0696
25,1014,10.0696
25,1054,9.5178
25,1094,9.5178
25,1136,9.5178
25,1182,9.5178
25,1229,9.65
25,1273,9.65
25,1321,9.65
25,1369,9.65
25,1410,9.65
26,362,13.0171
26,399,14.284
26,435,11.0924
26,471,6.2674
26,506,6.2674
26,542,6.1214
26,578,5.2737
26,614,5.8866
26,658,7.44
26,706,7.44
26,729,8.785
26,754,8.2437
26,801,8.2437
26,844,8.2437
26,884,8.3348
26,925,8.3348
26,969,8.3348
26,1014,8.3348
26,1054,8.5141
26,1094,8.5141
26,1136,8.5141
26,1182,8.5141
26,1229,8.785
26,1273,8.785
26,1321,8.785
26,1369,8.785
26,1410,8.785
64,362,28.8
64,399,57.6
64,435,57.6
64,471,19.2
64,506,19.2
64,542,19.2
64,578,28.8
64,614,28.8
64,658,28.8
64,706,28.8
64,729,28.8
64,754,28.8
64,801,28.8
64,844,28.8
64,884,28.8
64,925,28.8
64,969,28.8
64,1014,28.8
64,1054,28.8
64,1094,28.8
64,1136,28.8
64,1182,28.8
64,1229,28.8
64,1273,28.8
64,1321,28.8
64,1369,28.8
64,1410,28.8
65,362,22.4
65,399,24.6857
65,435,24.6857
65,471,13.0065
65,506,13.0065
65,542,13.0065
65,578,14.7512
65,614,14.7512
65,658,16.3459
65,706,16.3459
65,729,19.2
65,754,14.2306
65,801,14.2306
65,844,14.2306
65,884,16.3459
65,925,16.3459
65,969,16.3459
65,1014,16.3459
65,1054,7.9579
65,1094,12.2182
65,1136,12.2182
65,1182,12.2182
65,1229,19.2
65,1273,19.2
65,1321,19.2
65,1369,19.2
65,1410,19.2
72,362,30.375
72,399,32.4
72,435,32.4
72,471,18.6923
72,506,18.6923
72,542,18.6923
72,578,16.2
72,614,16.2
72,658,16.2
72,706,16.2
72,729,25.5789
72,754,17.3571
72,801,17.3571
72,844,17.3571
72,884,18
72,925,18
72,969,18
72,1014,18
72,1054,16.2
72,1094,3.3986
72,1136,16.2
72,1182,16.2
72,1229,25.5789
72,1273,25.5789
72,1321,25.5789
72,1369,25.5789
72,1410,25.5789
73,362,32.4
73,399,21.6
73,435,21.6
73,471,64.8
73,506,64.8
73,542,64.8
73,578,7.2
73,614,7.2
73,658,21.6
73,706,21.6
73,729,32.4
73,754,10.8
73,801,10.8
73,844,10.8
73,884,16.2
73,925,16.2
73,969,16.2
73,1014,16.2
73,1054,16.2
73,1094,16.2
73,1136,16.2
73,1182,16.2
73,1229,32.4
73,1273,32.4
73,1321,32.4
73,1369,32.4
73,1410,32.4
74,362,32.4
74,399,21.6
74,435,21.6
74,471,64.8
74,506,64.8
74,542,64.8
74,578,7.2
74,614,7.2
74,658,21.6
74,706,21.6
74,729,32.4
74,754,10.8
74,801,10.8
74,844,10.8
74,884,16.2
74,925,16.2
74,969,16.2
74,1014,16.2
74,1054,16.2
74,1094,16.2
74,1136,16.2
74,1182,16.2
74,1229,32.4
74,1273,32.4
74,1321,32.4
74,1369,32.4
74,1410,32.4
168,362,31.1538
168,399,26.129
168,435,26.129
168,471,8.4375
168,506,8.4375
168,542,8.4375
168,578,9.5294
168,614,9.5294
168,658,6.6942
168,706,6.6942
168,729,13.5
168,754,7.7143
168,801,7.7143
168,844,6.378
168,884,6.3281
