LinkID,FromNode,ToNode,Length,Kind,Width,Direction,Oneway,Pathpy
13,8,4473,0.035279,301,130,3,T,None
14,8,9322,0.199623,302,130,2,F,chao yang bei lu
25,15,7304,0.190237,601,55,1,None,tuan jie hu lu
26,15,962,0.018724,404,55,1,None,None
64,38,109,0.016659,602,55,3,T,jin tong dong lu
65,38,10351,0.323996,601,55,0,None,jing hua nan jie
72,43,8984,0.133982,601,55,1,None,jing hua nan jie
73,43,3524,0.004775,601,55,0,None,None
74,43,8966,0.017557,602,55,3,T,None
168,102,7272,0.011918,301,130,2,F,dong san huan zhong lu fu lu
169,102,10120,0.047984,304,30,2,F,None
170,102,10551,0.22772,301,130,3,T,dong san huan zhong lu fu lu
177,106,3694,0.340367,601,30,3,T,chao yang men wai da jie
179,108,8458,0.090231,601,130,1,None,dong si bei da jie
180,109,5774,0.166894,602,55,3,T,jin tong dong lu
181,109,3679,0.01368,604,30,1,None,None
208,127,2768,0.134045,601,55,1,None,gong ren ti yu chang nan lu
209,127,3492,0.439362,602,55,2,F,gong ren ti yu chang dong lu
223,137,464,0.228284,602,55,3,T,jin bao jie
391,243,440,0.078503,602,30,2,F,None
392,243,8598,0.010173,604,30,2,F,None
396,246,8780,0.153348,601,55,1,None,ri tan lu
397,246,1940,0.236176,601,55,2,F,xiu shui nan jie
401,248,954,0.183825,301,55,2,F,chao yang men nan da jie
402,248,6238,0.123285,601,30,0,None,None
407,252,4556,0.058638,402,55,3,T,gong ren ti yu chang bei lu
410,255,7794,0.118584,602,55,2,F,gong ren ti yu chang dong lu
431,268,888,0.162764,302,55,2,F,chao yang men wai da jie
460,285,4556,0.014668,404,55,3,T,None
461,285,1196,0.019236,602,55,2,F,xin dong lu
501,312,9180,0.015223,404,55,2,F,None
502,312,285,0.013678,404,55,3,T,None
546,342,8134,0.170214,601,55,1,None,jian hua lu
551,345,6121,0.020664,604,55,2,F,None
576,360,7849,0.075417,602,55,3,T,None
705,440,5561,0.010088,604,30,1,None,None
706,440,4695,0.168556,602,30,2,F,None
721,451,7264,0.484323,602,55,2,F,chao yang men nei da jie
722,451,7807,0.25503,602,130,3,T,chao yang men nei da jie
740,464,6489,0.010104,604,130,1,None,None
741,464,6827,0.012355,604,130,3,T,None
773,484,4364,0.00933,604,30,1,None,None
774,484,2797,0.242553,602,55,2,F,chao wai bei jie
783,490,243,0.034781,601,30,2,F,None
860,531,248,0.249495,301,55,2,F,chao yang men nan da jie
879,543,7171,0.101389,601,55,1,None,chao yang men bei xiao jie
933,573,3468,0.186257,601,55,0,None,None
934,573,6501,0.196993,301,55,2,F,chao yang men bei da jie
1056,649,5421,0.355202,301,130,2,F,dong san huan bei lu
1057,650,4665,0.01588,404,55,3,T,None
1058,650,1796,0.016316,404,55,2,F,None
1059,650,6661,0.242582,402,55,3,T,gong ren ti yu chang bei lu
1074,660,6884,0.100131,604,55,0,None,None
1097,672,1997,0.072088,105,55,2,F,san huan
1098,672,4575,0.55723,102,55,2,F,san huan
1117,685,6324,0.150639,602,55,2,F,chao yang men nei da jie
1118,685,9615,0.155291,601,55,2,F,chao yang men bei xiao jie
1156,706,10508,0.053911,105,30,3,T,san huan
1213,742,15,0.020173,402,130,3,T,nong zhan guan nan lu
1243,762,5944,0.206424,301,55,2,F,dong san huan bei lu
1244,762,1525,0.439242,601,30,2,F,tuan jie hu nan lu
1292,793,2204,0.168558,601,55,1,None,ri tan dong lu
1293,793,342,0.235814,601,55,1,None,guang hua lu
1353,837,7304,0.465908,601,55,1,None,tuan jie hu bei lu
1360,841,9152,0.099923,601,30,2,F,chao yang men wai da jie
1361,841,2710,0.093694,302,55,2,F,chao yang men wai da jie
1374,852,954,0.083593,105,30,2,F,er huan
1375,852,2780,0.308629,102,55,3,T,er huan
1377,854,342,0.23551,601,55,1,None,guang hua lu
1431,888,8363,0.01245,604,130,1,None,None
1432,888,8357,0.359711,302,55,2,F,chao yang men wai da jie
1436,891,1874,0.136685,602,55,3,T,zhen zhi lu
1511,941,9373,0.411592,102,55,3,T,er huan
1532,954,10469,0.186033,301,55,2,F,chao yang men nan da jie
1545,962,10331,0.282676,402,130,2,F,nong zhan guan nan lu
1595,996,8793,0.221522,601,55,1,None,hu jia lou bei jie
1618,1011,9373,0.390356,102,55,2,F,er huan
1644,1025,9671,0.085607,301,55,2,F,dong san huan bei lu
1697,1061,9818,0.01133,304,130,3,T,None
1745,1090,5987,0.052582,602,55,3,T,jin bao jie
1746,1090,7742,0.009327,604,30,3,T,None
1775,1112,5232,0.28304,601,55,0,None,ji shi kou ba tiao
1776,1112,5163,0.198122,601,55,0,None,ji shi kou dong lu
1809,1132,5395,0.028757,602,55,2,F,gong ren ti yu chang dong lu
1826,1141,3122,0.519479,601,55,1,None,bai jia zhuang lu
1827,1141,3854,0.274526,601,55,1,None,nan san li tun lu
1836,1147,8792,0.291496,601,55,2,F,chao wai er tiao
1837,1147,9452,0.272087,601,55,3,T,ya bao lu
1863,1163,5745,0.027647,602,55,2,F,jin tong dong lu
1943,1215,10460,0.025648,602,55,3,T,jin tong dong lu
2032,1271,6050,0.11775,105,30,3,T,san huan
2033,1271,3821,0.088384,301,55,2,F,dong san huan bei lu
2063,1286,2529,0.010434,604,30,0,None,None
2064,1286,10652,0.00533,602,55,3,T,None
2066,1288,1722,0.013338,604,55,3,T,None
2067,1288,2587,0.016372,602,55,3,T,jin tong dong lu
2115,1319,8100,0.505438,402,55,3,T,dong si shi tiao
2138,1336,7664,0.240725,601,55,1,None,dong si bei da jie
2139,1336,5346,0.037189,602,55,2,F,dong si xi da jie
2145,1340,4849,0.316438,601,55,1,None,ri tan bei lu
2146,1340,1914,0.100818,601,55,1,None,ri tan dong lu
2170,1353,9996,0.014963,604,55,1,None,None
2219,1386,6275,0.127462,301,130,2,F,dong san huan zhong lu fu lu
2256,1410,8,0.047175,304,130,1,None,None
2343,1467,841,0.166434,302,55,2,F,chao yang men wai da jie
2344,1467,6196,0.181438,602,55,3,T,chao wai shi chang jie
2345,1467,4111,0.00919,304,55,3,T,None
2349,1471,4230,0.156793,601,130,1,None,dong dan bei da jie
2361,1480,6515,0.007336,804,30,3,T,None
2362,1480,9567,0.080965,802,30,3,T,None
2382,1494,10685,0.628948,602,55,2,F,guang hua lu
2383,1494,2525,0.011896,304,130,2,F,None
2417,1519,3182,0.018833,300,55,3,T,chao yang men qiao
2426,1525,8048,0.049633,601,55,1,None,tuan jie hu lu
2539,1593,5898,0.102185,602,55,3,T,jin tong dong lu
2540,1593,10460,0.284201,602,55,2,F,jin tong dong lu
2627,1653,5400,0.25838,602,30,2,F,gong ren ti yu chang xi lu
2628,1653,9441,0.009067,604,130,1,None,None
2629,1653,4499,0.131352,602,30,3,T,gong ren ti yu chang xi lu
2656,1672,2051,0.052059,105,30,3,T,er huan
2657,1672,573,0.064438,301,55,2,F,chao yang men bei da jie
2696,1696,5745,0.129471,601,55,1,None,jing hua jie
2697,1696,1962,0.208193,601,55,0,None,jin fu lu
2717,1708,3802,0.211416,601,55,1,None,jing mao jie
2718,1708,6094,0.012193,601,55,2,F,None
2738,1722,7185,0.016182,602,55,2,F,jin tong dong lu
2739,1722,10238,0.012117,604,55,3,T,None
2740,1722,1977,0.19771,602,55,3,T,guang hua lu
2857,1796,7952,0.34268,402,55,3,T,gong ren ti yu chang bei lu
2871,1806,345,0.007683,602,55,3,T,jin tong xi lu
2873,1807,891,0.00881,604,55,1,None,None
2874,1807,7934,0.134131,602,55,2,F,zhen zhi lu
2901,1822,10265,0.24494,602,55,2,F,chao yang men nei da jie
2958,1862,5424,0.024539,301,130,2,F,dong san huan bei lu
2959,1862,9322,0.531547,302,130,3,T,chao yang bei lu
2960,1862,6707,0.013883,304,130,3,T,None
2969,1868,1410,0.157362,301,130,3,T,chao yang bei lu
2978,1874,7934,0.009234,604,55,2,F,None
3019,1896,8489,0.238296,602,55,3,T,chao yang men nan xiao jie
3020,1896,8155,0.140515,602,55,2,F,chao yang men nan xiao jie
3051,1914,2785,0.41074,601,55,3,T,xiu shui dong jie
3052,1914,2709,0.177543,601,55,1,None,ri tan dong lu
3069,1924,5138,0.046743,304,30,2,F,None
3070,1924,8077,0.360868,301,55,3,T,dong san huan bei lu
3092,1940,5026,0.234229,601,55,2,F,xiu shui nan jie
3124,1962,43,0.064158,601,55,0,None,jing hua nan jie
3148,1977,10618,0.010773,604,55,3,T,None
3149,1977,1286,0.014212,602,55,3,T,None
3181,1997,8984,0.098873,301,130,2,F,dong san huan zhong lu fu lu
3258,2049,43,0.017144,602,55,3,T,None
3259,2049,8966,0.009408,604,30,0,None,None
3322,2098,9623,0.154365,602,55,2,F,chao yang men nan xiao jie
3323,2099,6058,0.231674,602,55,2,F,jin tong xi lu
3324,2099,8778,0.016716,604,55,1,None,None
3325,2099,1806,0.197445,602,55,3,T,jin tong xi lu
3425,2160,15,0.265754,402,130,2,F,nong zhan guan nan lu
3441,2171,9304,0.126507,402,55,3,T,gong ren ti yu chang bei lu
3442,2172,7563,0.047362,402,55,3,T,gong ren ti yu chang bei lu
3491,2204,9713,0.40634,601,55,1,None,xiu shui dong jie
3492,2204,5026,0.162332,601,55,3,T,ri tan dong lu
3497,2208,6586,0.180366,302,130,2,F,chao yang bei lu
3671,2319,3017,0.008484,604,55,2,F,None
3672,2319,6559,0.718731,601,55,2,F,chao yang lu
3706,2341,1353,0.268829,602,55,3,T,guang hua lu
3707,2341,8671,0.257597,602,55,2,F,dong da qiao lu
3875,2440,9228,0.21509,602,55,2,F,chao yang men nan xiao jie
