LinkID,Time,Speed
13,45,42
13,369,31.5
13,406,31.5
13,442,2.6809
13,477,18
13,513,18
13,550,2.6809
13,588,21
13,626,25.2
13,664,25.2
13,704,25.2
13,722,31.5
13,745,25.2
13,788,25.2
13,839,25.2
13,886,21
13,929,21
13,978,21
13,1024,21
13,1068,21
13,1110,21
13,1151,21
13,1194,31.5
13,1242,31.5
13,1293,31.5
13,1345,31.5
13,1396,31.5
14,45,18.9474
14,369,34.2857
14,406,13.3333
14,442,13.5849
14,477,13.5849
14,513,13.5849
14,550,13.5849
14,588,12.8571
14,626,12.4138
14,664,12.4138
14,704,12.4138
14,722,14.1176
14,745,13.8462
14,788,13.8462
14,839,13.8462
14,886,11.4286
14,929,11.4286
14,978,10.7463
14,1024,11.4286
14,1068,27.6923
14,1110,27.6923
14,1151,27.6923
14,1194,14.1176
14,1242,14.1176
14,1293,14.1176
14,1345,14.1176
14,1396,14.1176
25,45,18.7784
25,369,17.8154
25,406,19.3
25,442,9.65
25,477,9.65
25,513,9.65
25,550,9.65
25,588,8.4732
25,626,11.58
25,664,11.58
25,704,11.58
25,722,9.65
25,745,9.7859
25,788,9.7859
25,839,9.7859
25,886,10.0696
25,929,10.0696
25,978,10.0696
25,1024,10.0696
25,1068,9.5178
25,1110,9.5178
25,1151,9.5178
25,1194,9.65
25,1242,9.65
25,1293,9.65
25,1345,9.65
25,1396,9.65
26,45,13.5777
26,369,13.0171
26,406,14.284
26,442,6.2674
26,477,6.2674
26,513,6.2674
26,550,6.1214
26,588,5.2311
26,626,6.9185
26,664,7.44
26,704,7.44
26,722,8.785
26,745,8.2437
26,788,8.2437
26,839,8.2437
26,886,8.3348
26,929,6.1575
26,978,8.3348
26,1024,6.1575
26,1068,5.6266
26,1110,5.6857
26,1151,5.6857
26,1194,12.3353
26,1242,8.785
26,1293,8.785
26,1345,8.785
26,1396,8.785
64,45,57.6
64,369,28.8
64,406,57.6
64,442,19.2
64,477,19.2
64,513,19.2
64,550,19.2
64,588,28.8
64,626,28.8
64,664,28.8
64,704,28.8
64,722,28.8
64,745,28.8
64,788,28.8
64,839,28.8
64,886,28.8
64,929,28.8
64,978,28.8
64,1024,28.8
64,1068,28.8
64,1110,28.8
64,1151,28.8
64,1194,28.8
64,1242,28.8
64,1293,28.8
64,1345,28.8
64,1396,28.8
65,45,20.5017
65,369,22.4
65,406,24.6857
65,442,13.0065
65,477,13.0065
65,513,13.0065
65,550,13.0065
65,588,14.7512
65,626,16.3459
65,664,16.3459
65,704,16.3459
65,722,19.2
65,745,14.2306
65,788,14.2306
65,839,14.2306
65,886,16.3459
65,929,16.3459
65,978,16.3459
65,1024,16.3459
65,1068,12.2182
65,1110,12.2182
65,1151,12.2182
65,1194,19.2
65,1242,19.2
65,1293,19.2
65,1345,19.2
65,1396,19.2
72,45,30.375
72,369,30.375
72,406,32.4
72,442,18.6923
72,477,18.6923
72,513,18.6923
72,550,18.6923
72,588,16.2
72,626,16.2
72,664,6.9429
72,704,16.2
72,722,25.5789
72,745,17.3571
72,788,17.3571
72,839,17.3571
72,886,7.1471
72,929,18
72,978,18
72,1024,18
72,1068,3.3986
72,1110,16.2
72,1151,16.2
72,1194,25.5789
72,1242,25.5789
72,1293,25.5789
72,1345,25.5789
72,1396,25.5789
73,45,64.8
73,369,32.4
73,406,21.6
73,442,64.8
73,477,64.8
73,513,64.8
73,550,10.8
73,588,7.2
73,626,21.6
73,664,21.6
73,704,21.6
73,722,32.4
73,745,10.8
73,788,21.2727
73,839,10.8
73,886,16.2
73,929,16.2
73,978,16.2
73,1024,16.2
73,1068,16.2
73,1110,16.2
73,1151,16.2
73,1194,32.4
73,1242,32.4
73,1293,32.4
73,1345,32.4
73,1396,32.4
74,45,64.8
74,369,32.4
74,406,21.6
74,442,64.8
74,477,64.8
74,513,64.8
74,550,10.8
74,588,7.2
74,626,21.6
74,664,21.6
74,704,21.6
74,722,32.4
74,745,10.8
74,788,21.2727
74,839,10.8
74,886,16.2
74,929,16.2
74,978,16.2
74,1024,16.2
74,1068,16.2
74,1110,16.2
74,1151,16.2
74,1194,32.4
74,1242,32.4
74,1293,32.4
74,1345,32.4
74,1396,32.4
168,45,13.0645
168,369,31.1538
168,406,26.129
168,442,8.4375
168,477,8.4375
168,513,8.4375
168,550,8.4375
168,588,9.5294
168,626,6.6942
168,664,6.6942
168,704,6.6942
168,722,13.5
168,745,7.7143
168,788,7.7143
168,839,7.7143
168,886,6.3281
168,929,6.3281
168,978,5.0943
168,1024,6.3281
168,1068,5.8273
168,1110,5.8273
168,1151,5.4362
168,1194,13.5
168,1242,13.5
168,1293,13.5
168,1345,13.5
168,1396,13.5
